epoch,global_step,step_in_epoch,split,validation_index,loss,boundary_weight,loss_energy_optimized,loss_energy_consistency,loss_energy_bulk,loss_energy_boundary,loss_energy_boundary_x,loss_energy_boundary_y,learning_rate,optimizer_step_time_mean_ms,optimizer_step_time_p95_ms,optimizer_step_time_max_ms,optimizer_step_count,optimizer_basis_refresh_count,optimizer_peak_memory_mib,learning_rate_first,learning_rate_last,seed,K,hardware,tangent_response_mismatch_pre,tangent_response_mismatch_post,tangent_response_mismatch_ratio,tangent_gradient_rms,tangent_delta_rms,tangent_delta_max_abs,tangent_correction_rel_symmetric_pair,tangent_eta_cap_enabled,tangent_eta_star_mean,tangent_eta_applied_mean,tangent_eta_cap_fraction,tangent_line_search_numerator_mean,tangent_line_search_denominator_mean,tangent_subspace_dimension,tangent_coefficient_0_mean,tangent_coefficient_1_mean,tangent_direction_0_active_fraction,tangent_direction_1_active_fraction,tangent_second_direction_active_fraction,tangent_response_cost_k1_mean,tangent_response_cost_k2_mean,tangent_response_cost_k2_over_k1,tangent_response_orthogonality_max,tangent_coefficient_2_mean,tangent_direction_2_active_fraction,tangent_response_cost_k3_mean,tangent_response_cost_k3_over_k2,tangent_coefficient_3_mean,tangent_direction_3_active_fraction,tangent_response_cost_k4_mean,tangent_response_cost_k4_over_k3,tangent_coefficient_4_mean,tangent_direction_4_active_fraction,tangent_response_cost_k5_mean,tangent_response_cost_k5_over_k4,tangent_coefficient_5_mean,tangent_coefficient_6_mean,tangent_coefficient_7_mean,tangent_coefficient_8_mean,tangent_direction_5_active_fraction,tangent_direction_6_active_fraction,tangent_direction_7_active_fraction,tangent_direction_8_active_fraction,tangent_response_cost_k6_mean,tangent_response_cost_k6_over_k5,tangent_response_cost_k7_mean,tangent_response_cost_k7_over_k6,tangent_response_cost_k8_mean,tangent_response_cost_k8_over_k7,tangent_response_cost_k9_mean,tangent_response_cost_k9_over_k8,tangent_coefficient_9_mean,tangent_direction_9_active_fraction,tangent_response_cost_k10_mean,tangent_response_cost_k10_over_k9
12,288,24,val,12.0,0.0002837210553312,0.0,0.0002837210553312,0.0005130443843969,0.0002837210553312,0.0002293233290656,4.26782400913053e-05,0.0001866450889743,0.0019976739771331,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,288,24,train,,0.0003256798802926,0.0,0.0003256798802926,0.0005784839147075,0.0003256798802926,0.0002528040344149,4.264276689831643e-05,0.0002101612675166,0.0019976739771331,74.65770654380322,126.97008773684502,128.45048308372498,24.0,8.0,8767.83251953125,0.0019993933113222,0.0019976739771331,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,312,24,val,13.0,0.0002315298188187,0.0,0.0002315298188187,0.0004521996388953,0.0002315298188187,0.0002206698200765,3.28406778833387e-05,0.0001878291421932,0.0019946946026246,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,312,24,train,,0.0002507501271838,0.0,0.0002507501271838,0.0004653587112471,0.0002507501271838,0.0002146085840632,3.468188296592893e-05,0.0001799267010973,0.0019946946026246,73.87802408387263,106.76883980631828,190.26394188404083,24.0,8.0,8767.83251953125,0.0019975739851306,0.0019946946026246,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,336,24,val,14.0,0.0002011954017261,0.0,0.0002011954017261,0.0003819751567344,0.0002011954017261,0.0001807797550082,2.5802557892669e-05,0.0001549771971155,0.0019905083205587,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,336,24,train,,0.0002097116558009,0.0,0.0002097116558009,0.0004056556490023,0.0002097116558009,0.0001959439932014,2.9422284532818192e-05,0.0001665217086686,0.0019905083205587,74.90637650092442,124.85456466674805,125.05287677049635,24.0,8.0,8767.83251953125,0.0019945442400474,0.0019905083205587,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,360,24,val,15.0,0.0001758407339098,0.0,0.0001758407339098,0.0003391656796559,0.0001758407339098,0.000163324945746,2.6486216438253544e-05,0.0001368387293078,0.0019851202360006,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,360,24,train,,0.0001825849777616,0.0,0.0001825849777616,0.0003574033338445,0.0001825849777616,0.0001748183560829,2.5888417759562038e-05,0.0001489299383233,0.0019851202360006,74.93137785543998,122.31664694845672,226.3919860124588,24.0,8.0,8767.83251953125,0.0019903077707701,0.0019851202360006,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,384,24,val,16.0,0.0001612567423584,0.0,0.0001612567423584,0.0003031646375613,0.0001612567423584,0.0001419078952028,2.3304955056461785e-05,0.0001186029401464,0.0019785369195833,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,384,24,train,,0.0001651670360145,0.0,0.0001651670360145,0.0003235118552554,0.0001651670360145,0.0001583448192408,2.392253306300515e-05,0.0001344222861778,0.0019785369195833,74.72400522480409,125.0707384198904,126.43406540155412,24.0,8.0,8767.83251953125,0.001984869743566,0.0019785369195833,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
